id,abstract,year,month,day,journal
5563415,High prevalence of haemoglobin E in two populations in Assam.,1971,1,1,Humangenetik
5563412,[The genetics of the HL-A-system. A study of population and families and its application in paternity cases].,1971,1,1,Humangenetik
5562210,[Hereditary spherocytosis and beta-thalassemia: coexistence of 2 genes in a Sicilian family].,1971,1,1,Acta paediatrica Belgica
5556920,"Ulcero-mutilating acropathy, hereditary sensory neuropathy and signs of Friedreich heredo-ataxia in two brothers.",1971,1,1,Humangenetik
5556918,[Genetics of the Alport syndrome. Hereditary nephropathy with deafness].,1971,1,1,Humangenetik
5555285,Genetics of gastro-intestinal disorders.,1971,1,1,Medical laboratory technology
5555180,[Adenylate kinase polymorphism (EC: 2.7.4.3.) gene frequencies and practicability in forensic serology].,1971,1,1,Zeitschrift fur Rechtsmedizin. Journal of legal medicine
5555177,[Use of digital computers in forensic medicine and forensic chemistry].,1971,1,1,Zeitschrift fur Rechtsmedizin. Journal of legal medicine
5552162,Subacute necrotizing encephalomyelopathy. A review and a study of two families.,1971,1,1,Brain : a journal of neurology
5551618,[Familial incidence of idiopathic scoliosis].,1971,1,1,Chirurgia narzadow ruchu i ortopedia polska
5550595,Evaluation of a heterozygote test for maple syrup urine disease in leucocytes and cultured fibroblasts.,1971,1,1,Humangenetik
5547741,[Phosphogluconate-dehydrogenase (PGD). Random sample of the Berlin population].,1971,1,1,Zeitschrift fur Rechtsmedizin. Journal of legal medicine
5545904,Inborn errors of metabolism. Variability within single diseases.,1971,1,1,Clinical pediatrics
5545868,[Genetic study of mucoviscidosis (a personal statistical survey of 273 families)].,1971,1,1,Archives francaises de pediatrie
5545637,[Actual selection mechanisms].,1971,1,1,Studium generale; Zeitschrift fur die Einheit der Wissenschaften im Zusammenhang ihrer Begriffsbildungen und Forschungsmethoden
5545633,[Racial equality--racial mixing? Anthropological principles].,1971,1,1,Studium generale; Zeitschrift fur die Einheit der Wissenschaften im Zusammenhang ihrer Begriffsbildungen und Forschungsmethoden
5545396,Hereditary hydrometrocolpos with polydactyly in infancy.,1971,1,1,Pediatrics
5545038,[Populationgenetics of phosphoglucoseisomerase. (EC:5.3.1.9)].,1971,1,1,Humangenetik
5543874,Electrophoretic and functional variants of NADH-methemoglobin reductase in hereditary methemoglobinemia.,1971,1,1,The Journal of clinical investigation
5540493,"Cytogenetic studies in the Hottentot population: count distribution, report of a fragment, and preliminary description of morphology.",1971,1,1,American journal of physical anthropology
5539277,Evolution of clinical signs in adult-onset cystic disease of the renal medulla.,1971,1,1,Annals of internal medicine
5317029,"Genetic structure of the population of Valparaiso. V. ABO blood groups, color vision deficiency and their relationship to other variables.",1971,1,1,Human heredity
5316617,Equilibrium under inbreeding in balanced polymorphisms.,1971,1,1,Bulletin of the World Health Organization
5316159,On the inheritance of incontinentia pigmenti.,1971,1,1,Dermatologica
5315643,[General amyloidosis with lattice dystrophy of the cornea].,1971,1,1,Duodecim; laaketieteellinen aikakauskirja
5313886,The genetics of clotting factor VIII.,1971,1,1,Medical laboratory technology
5313312,A possibly new familial superficial corneal dystrophy.,1971,1,1,Canadian journal of ophthalmology. Journal canadien d'ophtalmologie
5312820,Congenital corneal dystrophy. Progressive sensorineural deafness in a family.,1971,1,1,"Archives of ophthalmology (Chicago, Ill. : 1960)"
5293030,[The modern concept of the gene].,1971,1,1,L' Orthodontie francaise
5292820,"HL-A antigens and susceptibility to diseases. A study of patients with acute lymphoblastic leukaemia, Hodgkin's disease, and childhood asthma.",1971,1,1,Tissue antigens
5291549,Random inactivities of the X chromosome in intermediate X-linked retinitis pigmentosa. Two hypotheses.,1971,1,1,Transactions of the ophthalmological societies of the United Kingdom
5280409,The influence of sex-chromosome genes on tooth size in man. A genetic and quantitative study.,1971,1,1,Suomen Hammaslaakariseuran toimituksia = Finska tandlakarsallskapets forhandlingar
5276304,A new reduced human-mouse somatic cell hybrid containing the human gene for adenine phosphoribosyltransferase.,1971,1,1,Proceedings of the National Academy of Sciences of the United States of America
5276287,Immunofluorescent evidence for cellular control of synthesis of variable regions of light and heavy chains of immunoglobulins G and M by the same gene.,1971,1,1,Proceedings of the National Academy of Sciences of the United States of America
5276281,Mitotic separation of two human X-linked genes in man--mouse somatic cell hybrids.,1971,1,1,Proceedings of the National Academy of Sciences of the United States of America
5173656,Comparisons of the polypeptide chains of globins.,1971,1,1,Journal of molecular evolution
5173424,Population studies in Northern Sweden. II. Red cell enzyme polymorphism in the Swedish Lapps.,1971,1,1,Hereditas
5173422,Rates of the schizophrenic genotype in relatives of psychotic persons.,1971,1,1,Hereditas
5170811,Medical genetics and adoption.,1971,1,1,Child welfare
5170239,Experimental studies of &quot;lethargic&quot; mutant mice.,1971,1,1,Texas reports on biology and medicine
5169568,Discriminating between different modes of inheritance in genetic disease.,1971,1,1,Clinical genetics
5167757,Platelet iso-antigens and iso-antibodies.,1971,1,1,Bibliotheca haematologica
5161774,Primary angle-closure glaucoma: changing concepts of inheritance and environment.,1971,1,1,Transactions of the Australian College of Ophthalmologists
5159100,A genetic analysis of Parkinson's disease.,1971,1,1,Transactions of the American Neurological Association
5156008,[Cardiological studies on patients with autosomal dominant and autosomal recessive hereditary myotonia congenital and myotonia dystrophica].,1971,1,1,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin
5155315,Sex determination and gonadal differentiation in man. A unifying concept of normal and abnormal sex development.,1971,1,1,Clinical genetics
5155313,Inheritance of Gm(g) and a gene complex Gm a Gm g weak.,1971,1,1,Clinical genetics
5155309,Genetics of hereditary nephropathy with deafness (Alport's disease).,1971,1,1,Clinical genetics
5154533,HL-A typing in Asian Indians.,1971,1,1,Tissue antigens
5154531,"The distribution of HL-A leukocyte antigens in Singapore Chinese, Malays, and Indians.",1971,1,1,Tissue antigens
5154367,Leukocyte antigens in a New Guinea population.,1971,1,1,Tissue antigens
5154290,Disagreements between observed and expected data in erythrocyte acid phosphatase polymorphism. Reference laboratories for enzyme polymorphisms.,1971,1,1,Zeitschrift fur Rechtsmedizin. Journal of legal medicine
5154256,Leukocyte antibodies: occurrence in primigravidae.,1971,1,1,Tissue antigens
5149966,The serum IgG allotype Gm(1) in Scotland.,1971,1,1,Human heredity
5149961,A general model for the genetic analysis of pedigree data.,1971,1,1,Human heredity
5149960,Schizophrenia: geneticism and environmentalism.,1971,1,1,Human heredity
5148770,A statistical comparison of human karyotypes in a D-group monosomy and in eusomic controls.,1971,1,1,Acta biologica et medica Germanica
5147506,The distribution of serum protein and enzyme group systems among North Indians.,1971,1,1,Human heredity
5146584,"Syndrome characterized by lingual malformation, polydactyly, tachypnea, and psychomotor retardation (Mohr syndrome).",1971,1,1,Clinical genetics
5146580,"Lysinuric protein intolerance, an autosomal recessive disease. A genetic study of 10 Finnish families.",1971,1,1,Clinical genetics
5146579,Spinal muscular atrophy type II. A separate genetic and clinical entity from type I (Werdnig-Hoffmann disease) and type 3 (Kugelberg-Welander disease).,1971,1,1,Clinical genetics
5145709,A contribution to the Ny a problem.,1971,1,1,Human heredity
5144908,Phosphoglucomutase (PGM) and 6-phosphogluconate dehydrogenase (PGD) isozymes in human sperm cells.,1971,1,1,Humangenetik
5144907,Population genetics of soluble glutamic-pyruvic transaminase (EC: 2.6.1.2): gene frequencies in Southwestern Germany.,1971,1,1,Humangenetik
5144905,Genetics and linkage analysis of adenosine deaminase.,1971,1,1,Humangenetik
5144903,Adenylate kinase and malate dehydrogenase in four Malaysian racial groups.,1971,1,1,Humangenetik
5144898,Adenosine deaminase polymorphism in Sardinia.,1971,1,1,Humangenetik
5140312,[Molecular basis of thalassemia and sickle-cell anemia].,1971,1,1,La Pediatria
5139254,A study of the pseudocholinesterase polymorphism among a panjabi population.,1971,1,1,Human heredity
5139253,Segregation analysis of three red cell isoenzymes.,1971,1,1,Human heredity
5139252,Frequency of red cell adenosine deaminase phenotypes in several population groups in Israel.,1971,1,1,Human heredity
5138929,[The HL-A system of histocompatibility antigens].,1971,1,1,Bibliotheca haematologica
5136217,The distribution in man of genetic variants of 6-phosphogluconate dehydrogenase.,1971,1,1,Human heredity
5136216,The world distribution of electrophoretic variants of the red cell enzyme adenylate kinase.,1971,1,1,Human heredity
5136215,Adenylate kinase (AK) phenotypes in an Indian population sample.,1971,1,1,Human heredity
5136214,Red cell adenylate kinase and phosphoglucomutase polymorphisms in several population groups in Israel.,1971,1,1,Human heredity
5136213,"Red cell enzyme polymorphisms in a northern German population. Gene frequencies and population genetics of the acid phosphatase (AP), phosphoglucomutase (PGM), adenylate kinase (AK), adenosine deaminase (ADA) and 6-phosphogluconate dehydrogenase (6-PGD).",1971,1,1,Human heredity
5136212,"Placenta phosphoglucomutase types in Norway. Gene frequencies, lack of association with perinatal factors and report of a new PGM phenotype.",1971,1,1,Human heredity
5136210,Variation of inbreeding coefficient in Japan.,1971,1,1,Human heredity
5135858,Soluble glutamic-pyruvic transaminase (EC:2.6.1.2): formal genetics and linkage relations.,1971,1,1,Humangenetik
5135856,Genetics and linkage analysis for the acid phosphatase of the erythrocytes.,1971,1,1,Humangenetik
5135855,Genetics and linkage analysis on phosphoglucomutase.,1971,1,1,Humangenetik
5135854,Genetics and linkage analysis on adenylate kinase.,1971,1,1,Humangenetik
5135852,Laurence-Moon-Biedl syndrome in presumably identical twins.,1971,1,1,Humangenetik
5135851,Another example of slow albumin allotype.,1971,1,1,Humangenetik
5135850,"Non-random participation of chromosomes 13, 14 and 15 in acrocentric associations.",1971,1,1,Humangenetik
5132971,A dominant form of neuronal ceroid-lipofuscinosis.,1971,1,1,Brain : a journal of neurology
5129670,Differentiation of two forms of xeroderma pigmentosum.,1971,1,1,Dermatologica
5129072,[Late hereditary oculopharyngeal myopathy].,1971,1,1,Practica oto-rhino-laryngologica
5128746,The Kell-Cellano blood group system in clinical and medico-legal practice. A survey covering a period of twenty years.,1971,1,1,Haematologia
5127408,Human red cell adenylate kinase polymorphism in West Malaysian populations.,1971,1,1,Human heredity
5127407,Studies on the immunoglobulin allotypes of asiatic populations. I. Gm and Inv allotypes among Chinese from Kuantung Province.,1971,1,1,Human heredity
5127406,"Red cell phosphoglucomutase polymorphism in Finland-Swedes, Finns, Finnish Lapps, Maris (Cheremisses) and Greenland Eskimos, and segregation studies of PGM types in Lapp families.",1971,1,1,Human heredity
5127405,"Serum protein polymorphisms among Norwegian Lapps. Studies on the Lp, Ag, Gc and transferrin systems.",1971,1,1,Human heredity
5126377,"Computation of the number of diabetics, as well as of diabetic genotypes and of the frequency of diabetic alleles in the Polish population above 14 years of age.",1971,1,1,Polish medical journal
5120439,[Chemical and genetic aspects of hemoglobinosynthesis].,1971,1,1,Marseille medical
5116596,"The adducted thumbs syndrome. An autosomal recessive disease with arthrogryposis, dysmyelination, craniostenosis, and cleft palate.",1971,1,1,Clinical genetics
5116594,Autosomal dominant inheritance in Larsen's syndrome.,1971,1,1,Clinical genetics
5116593,Dominant mode of inheritance in atrial septal defect.,1971,1,1,Clinical genetics
5115892,Results of haptoglobin types investigations in Hungary.,1971,1,1,Humangenetik
5115890,Contribution to the PGM 3 polymorphism phenotype frequencies in Prague.,1971,1,1,Humangenetik
5115889,[Data on population genetics of 6-phosphogluconate dehydrogenase].,1971,1,1,Humangenetik
5115888,Exomphalos in four consecutive pregnancies.,1971,1,1,Humangenetik
5115887,A chromosome 13q+ in a patient with characteristics of the trisomy 13 syndrome.,1971,1,1,Humangenetik
5114679,On the phenotype distribution of red cell acid phosphatase in Czechoslovakia. The district of Ceské Budĕjovice.,1971,1,1,Humangenetik
5114667,Evidence against nutritional adaption of tolerance to lactose.,1971,1,1,Humangenetik
5112619,[Beta-thalassaemia minor in Finland].,1971,1,1,Duodecim; laaketieteellinen aikakauskirja
5112611,Lipoid proteinosis in South Africa.,1971,1,1,Dermatologica
5111762,"Congenital chloride diarrhea, an autosomal recessive disease. Genetic study of 14 Finnish and 12 other families.",1971,1,1,Clinical genetics
5111759,Incidence of cleft lip and palate in the offspring of cleft parents.,1971,1,1,Clinical genetics
5111758,Evidence for autosomal recessive inheritance of costovertebral dysplasia.,1971,1,1,Clinical genetics
5111757,The ENCU scoring system. A strategy for solving a class of single-locus genetic counseling problems.,1971,1,1,Clinical genetics
5111755,Accumulation of different congenital heart defects in one pedigree.,1971,1,1,Clinical genetics
5111754,Hypoplastic left heart syndrome: an autosomal recessive disorder.,1971,1,1,Clinical genetics
5105730,[Tables to calculate the probability of mono dizygoticity in twins. Study of Mexican population groups].,1971,1,1,Revista de investigacion clinica; organo del Hospital de Enfermedades de la Nutricion
5104863,Natural mutation rates in the house mouse. Estimates for five specific loci and dominant mutations.,1971,1,1,Mutation research
5092947,[Heterozygotic form of mucoviscidosis in children].,1971,1,1,Pediatria polska
5092718,Inherited differences in blood group A subtypes in Caucasians and Negroes.,1971,1,1,Human heredity
5092717,A study of red cell adenylate kinase (AK) types in 115 Danish families.,1971,1,1,Human heredity
5092715,A study of red cell adenosine deaminase (ADA) types in 116 Danish families.,1971,1,1,Human heredity
5092714,The distribution in human populations of genetic variants of adenosine deaminase.,1971,1,1,Human heredity
5092711,&quot;Ridges-off-the-end&quot;--a dermatoglyphic syndrome.,1971,1,1,Human heredity
5091037,[Bilateral breast cancer].,1971,1,1,Prensa medica argentina
5090327,Paradoxical frequencies of recessive disorders in Ashkenazic Jews.,1971,1,1,Journal of chronic diseases
5006249,Evolutionary rate of cistrons and DNA divergence.,1971,1,1,Journal of molecular evolution
5005925,Albinism.,1971,1,1,Advances in human genetics
5005219,HL-A antibodies: influence on the human foetus.,1971,1,1,Tissue antigens
5004725,Studies on inherited antigenic variation of human serum -lipoprotein by passive hemagglutination. V. Studies on a non-precipitating antiserum.,1971,1,1,Human heredity
5004308,The ribosomal RNA cistrons.,1971,1,1,Progress in nucleic acid research and molecular biology
5004219,Genetic and linkage analysis on 6-PGD.,1971,1,1,Humangenetik
5004218,Methodological investigations on the ABO-typing of ancient bones.,1971,1,1,Humangenetik
5003195,Genetic aspects of the complement system.,1971,1,1,Advances in immunology
5003130,Serum -lipoprotein polymorphism in Greenlanders. Frequency of the Ag(x) factor.,1971,1,1,Human heredity
5003127,The distribution of ABO and Rh blood groups in North Indian populations.,1971,1,1,Human heredity
5003068,[Clinical significance of anti-Vel-antibodies].,1971,1,1,Bibliotheca haematologica
5002778,Serum protein polymorphisms in Indians of western Canada. Gene frequencies and data on the Gc-albumin linkage.,1971,1,1,Human heredity
5001785,Genetic marker systems in Arctic populations. I. Lp and Ag datas on the Greenland Eskimos.,1971,1,1,Human heredity
5001519,Is haemoglobin G Philadelphia linked to -thalassaemia?,1971,1,1,Acta haematologica
5000413,A new human allotype carried by the G3 subclass: Gm(25).,1971,1,1,Humangenetik
5000043,The incidence of -thalassemia and abnormal hemoglobins in Turkey.,1971,1,1,Acta haematologica
4998684,Transspecific variability of phosphohexose isomerase (E.C.:5.3.1.9) in primates.,1971,1,1,Humangenetik
4952650,"The Gm(1), Gm(2) and Gm(4) factors in the Polish population.",1971,1,1,Archivum immunologiae et therapiae experimentalis
4952649,"Frequency of types in the Hp, Gc and Gm serum systems and acid phosphatase of erythrocytes in the Greek population.",1971,1,1,Archivum immunologiae et therapiae experimentalis
4952647,Hp subgroups in the Polish population.,1971,1,1,Archivum immunologiae et therapiae experimentalis
4952645,Frequency of Gm(5) factor in the Polish population determined with rabbit anti-Gm(5) serum.,1971,1,1,Archivum immunologiae et therapiae experimentalis
4952641,Frequency of phosphoglucomutase types in the Polish population.,1971,1,1,Archivum immunologiae et therapiae experimentalis
4950475,Acatalasemia.,1971,1,1,Advances in human genetics
4949436,"Transplantation antigens and malignant lymphomas in man: follicular lymphoma, reticulum cell sarcoma and lymphosarcoma.",1971,1,1,Tissue antigens
4949410,The probability of donor-recipient histocompatibility in different HL-A phenotype combinations.,1971,1,1,Tissue antigens
4948503,Teratology.,1971,1,1,Annual review of pharmacology
4947106,The genetic effects of ionizing radiations.,1971,1,1,Advances in genetics
4945688,Sex ratio in spina bifida and anencephaly.,1971,1,1,Genetica
4945043,[Use of leukocyte group typing in human organ transplantation].,1971,1,1,Bibliotheca haematologica
4944451,Possible cases of relaxed selection in civilized populations.,1971,1,1,Humangenetik
4943911,The immune system: a model for differentiation in higher organisms.,1971,1,1,Advances in immunology
4942225,Antibody diversity.,1971,1,1,Annual review of biochemistry
4939953,Apparently monogenic inheritance of anencephaly and spina bifida in a kindred.,1971,1,1,Humangenetik
4931551,[Haptoglobin: its structure and function of hemoglobin binding].,1971,1,1,Uspekhi sovremennoi biologii
4928129,[Problem of heredity and cytogenetic studies in schizophrenia].,1971,1,1,Psychiatria polska
4377852,[Subacute sclerosing panencephalitis Van Bogaert's Subacute sclerosing leucoencephalitis. Outline of past findings and future prospects].,1971,1,1,Revue d'electroencephalographie et de neurophysiologie clinique
4377447,Rate of change of concomitantly variable codons.,1971,1,1,Journal of molecular evolution
4377446,The structures of cytochrome c and the rates of molecular evolution.,1971,1,1,Journal of molecular evolution
4377445,On the constancy of the evolutionary rate of cistrons.,1971,1,1,Journal of molecular evolution
4349418,"Critical periods in brain development. In: lipids, malnutrition &amp; the developing brain.",1971,1,1,Ciba Foundation symposium
4342482,HL-A types in Danish Eskimos from Greenland.,1971,1,1,Tissue antigens
4331171,Inheritance of haemoglobin H disease. A new aspect.,1971,1,1,Acta haematologica
4327700,[Morphology and function of pituitary cells].,1971,1,1,Naika. Internal medicine
4265147,[Myocardiopathies in myopathies].,1971,1,1,Verhandlungen der Deutschen Gesellschaft fur Innere Medizin
4263097,Histocompatibility matching. V. A comparison of typing and mixed cultures in unrelated individuals.,1971,1,1,Tissue antigens
4260008,Blood groups of the Burmese population.,1971,1,1,Human heredity
4259520,"[Frequency of the C and c (Carabelli's complex) genes in the present population of the valley of Pastos Chicos (province of Jujuy, Argentina)].",1971,1,1,Comptes rendus des seances de la Societe de biologie et de ses filiales
4259025,[Pt-type distribution among an isolated population in Abchaz Svanetia (Georgia)].,1971,1,1,Acta biologica et medica Germanica
4257922,Adenosine-triphosphatase deficiency in a family with non-spherocytic haemolytic anaemia.,1971,1,1,Human heredity
4255837,"[Nail-patella syndrome. Clinical picture, family history and biochemical studies].",1971,1,1,Dermatologica
4253936,[Heredity in leukemia].,1971,1,1,Nihon rinsho. Japanese journal of clinical medicine
4252882,[Hereditary onycho-osteo-dysplasia (HOOD) in a Swabian family. I. Genetic and metabolic studies. II. Morphology].,1971,1,1,Archiv fur dermatologische Forschung
4252109,[Hemoglobin biosynthesis].,1971,1,1,Nouvelle revue francaise d'hematologie
4252108,[The hemoglobinopathies due to a disturbance of hemoglobin synthesis].,1971,1,1,Nouvelle revue francaise d'hematologie
4252107,[Hemoglobinopathies caused by structural anomaly].,1971,1,1,Nouvelle revue francaise d'hematologie
4252103,[Current status of the problem of abnormal hemoglobins. Preliminary reflexions].,1971,1,1,Nouvelle revue francaise d'hematologie
4119872,"[Dry congenital erythroderma ichthyosiforme, deaf-mutism, and hypetomegaly, of recessive autosome transmission. Study of a family].",1971,1,1,Bulletin de la Societe francaise de dermatologie et de syphiligraphie
4116474,The distribution of HL-A histocompatibility factors and genes in patients with systemic lupus erythematosus.,1971,1,1,Tissue antigens
4116443,HL-A polymorphism of Norwegian Lapps.,1971,1,1,Tissue antigens
4116379,HL-A haplotype frequencies in Denmark and Norway.,1971,1,1,Tissue antigens
4116378,"Identification of two determinants included in &quot;antigen&quot; HL-A-10 (TO 31 and TO 40) and of a new family of cross-reacting specificities (HL-A1,11,TO 30,31,40).",1971,1,1,Tissue antigens
4112775,Can gene subloci be determined from serological specificities?,1971,1,1,Haematologia
4112281,Ag(x) and Ag(y) antigens in studies of paternity cases in the United Kingdom.,1971,1,1,Human heredity
4112279,Gm types of Greenland Eskimos.,1971,1,1,Human heredity
4112057,Another variant in the C 3 system.,1971,1,1,Clinical genetics
4111762,[Qualitative and quantitative studies on the blood group A el ].,1971,1,1,"Folia haematologica (Leipzig, Germany : 1928)"
4111761,"[Rh-defect types, their diagnosis and significance].",1971,1,1,"Folia haematologica (Leipzig, Germany : 1928)"
4109806,"The distribution of several serological and biochemical traits in east Asia. 3. The distribution of gamma-globulin (Gm(1), Gm(2), Gm(5) and Inv(1) and Gc groups in Taiwan and Ryukyu.",1971,1,1,Human heredity
4109356,Studies on C'3 polymorphism in Denmark.,1971,1,1,Human heredity
4109355,Genetic polymorphism of the complement component C3 in Swedish Lapps.,1971,1,1,Human heredity
4109354,Genetic polymorphism of the complement component C3 in a northern Swedish population.,1971,1,1,Human heredity
4108876,The H-2 model for the major histocompatibility systems.,1971,1,1,Transplantation reviews
4108383,C 3 types of Norwegian Lapps.,1971,1,1,Human heredity
4108382,The distribution of C 3 types in Norway.,1971,1,1,Human heredity
4107349,"[Incidence and gene frequency of Gm (1), (2), (5) and Inv (1) gammaglobulin polymorphisms and their utilization in paternity determinations in Hungary].",1971,1,1,Zeitschrift fur Rechtsmedizin. Journal of legal medicine
4104837,[Hereditary cerebellar aataxia with spinal muscular atrophies].,1971,1,1,Zeitschrift fur Neurologie
4104409,[A case report on the adult type of recessive spastic paraplegia].,1971,1,1,Zeitschrift fur Neurologie
4104405,[CNS lesions in olivo-ponto-cerebellar atrophies].,1971,1,1,Zeitschrift fur Neurologie
4100766,N-terminal analysis of normal immunoglobulin light chains. I. A study of thirteen individual humans.,1971,1,1,Immunochemistry
4100047,"The molecular defect in a protein (CRA) found in gamma-1 heavy chain disease, and its genetic implications.",1971,1,1,Proceedings of the National Academy of Sciences of the United States of America
24430248,A pair of closely linked genes controlling high scutellar chaeta number in Drosophila.,"Department of Genetics and Human Variation, La Trobe University, Victoria, Australia.,1971",1,1,TAG. Theoretical and applied genetics. Theoretische und angewandte Genetik
16097655,Mutation in eukaryotes.,1971,1,1,Annual review of genetics
16097653,Recombination within a histocompatibility locus.,1971,1,1,Annual review of genetics
16097649,Recent work on isozymes in man.,1971,1,1,Annual review of genetics
14978855,The somatic generation of immune recognition.,1971,1,1,European journal of immunology
5581979,Genetic aspects of tuberous sclerosis in a Chinese population.,1971,1,1,American journal of human genetics
5581978,The inbreeding load in Brazilian whites and negroes as estimated with sib and cousin controls.,1971,1,1,American journal of human genetics
5581977,Complex segregation analysis. II. Multiple classification.,1971,1,1,American journal of human genetics
5576061,"[Biochemical, histological and clinical findings in a four-year-old female carrier of benign X-linked muscular dystrophy (Becker type)].",1971,1,1,Humangenetik
5575021,[Symptoms of radiation disease and various radiation sequelae in man with special reference to the victims of the Hiroshima and Nagasaki atomic explosions].,1971,1,1,Przeglad lekarski
5574381,Incidence of Gm-1 in Indians in Bombay.,1971,1,1,The Indian journal of medical research
5571047,A new form of heredo-familial spinocerebellar degeneration with slow eye movements (nine families).,1971,1,1,Brain : a journal of neurology
5571046,Dominant spino-pontine atrophy. Report of a family through three generations.,1971,1,1,Brain : a journal of neurology
5570562,"Glucose-6-phosphate dehydrogenase deficiency, hemoglobin and haptoglobin types in Mexicans and American Negroes.",1971,1,1,Texas reports on biology and medicine
5568974,The detection of increased mutation rates in human populations.,1971,1,1,Perspectives in biology and medicine
5568733,The adenylate kinase (AK)-groups in the Swiss population.,1971,1,1,Humangenetik
5568731,Pseudocholinesterase polymorphism among Lapp populations in Finland.,1971,1,1,Humangenetik
5568730,"Adenylate kinase polymorphism in populations in Finland (Swedes, Finns, Lapps), in Maris, and in Greenland Eskimos.",1971,1,1,Humangenetik
5568113,The red cell acid phosphatase polymorphism in Sweden. Gene frequencies and application to disputed paternity.,1971,1,1,Acta geneticae medicae et gemellologiae
5567688,Origin of mitochondria: are they descendants of ancestral bacteria.,1971,1,1,Triangle; the Sandoz journal of medical science
5564357,Investigations on the geographical variability of the human transferrins.,1971,1,1,Humangenetik
5563415,High prevalence of haemoglobin E in two populations in Assam.,1971,1,1,Humangenetik
5563412,[The genetics of the HL-A-system. A study of population and families and its application in paternity cases].,1971,1,1,Humangenetik
5562210,[Hereditary spherocytosis and beta-thalassemia: coexistence of 2 genes in a Sicilian family].,1971,1,1,Acta paediatrica Belgica
5556920,"Ulcero-mutilating acropathy, hereditary sensory neuropathy and signs of Friedreich heredo-ataxia in two brothers.",1971,1,1,Humangenetik
5556918,[Genetics of the Alport syndrome. Hereditary nephropathy with deafness].,1971,1,1,Humangenetik
5555285,Genetics of gastro-intestinal disorders.,1971,1,1,Medical laboratory technology
5555180,[Adenylate kinase polymorphism (EC: 2.7.4.3.) gene frequencies and practicability in forensic serology].,1971,1,1,Zeitschrift fur Rechtsmedizin. Journal of legal medicine
5555177,[Use of digital computers in forensic medicine and forensic chemistry].,1971,1,1,Zeitschrift fur Rechtsmedizin. Journal of legal medicine
5552162,Subacute necrotizing encephalomyelopathy. A review and a study of two families.,1971,1,1,Brain : a journal of neurology
5551618,[Familial incidence of idiopathic scoliosis].,1971,1,1,Chirurgia narzadow ruchu i ortopedia polska
5550595,Evaluation of a heterozygote test for maple syrup urine disease in leucocytes and cultured fibroblasts.,1971,1,1,Humangenetik
5547741,[Phosphogluconate-dehydrogenase (PGD). Random sample of the Berlin population].,1971,1,1,Zeitschrift fur Rechtsmedizin. Journal of legal medicine
5545904,Inborn errors of metabolism. Variability within single diseases.,1971,1,1,Clinical pediatrics
5545868,[Genetic study of mucoviscidosis (a personal statistical survey of 273 families)].,1971,1,1,Archives francaises de pediatrie
5545637,[Actual selection mechanisms].,1971,1,1,Studium generale; Zeitschrift fur die Einheit der Wissenschaften im Zusammenhang ihrer Begriffsbildungen und Forschungsmethoden
5545633,[Racial equality--racial mixing? Anthropological principles].,1971,1,1,Studium generale; Zeitschrift fur die Einheit der Wissenschaften im Zusammenhang ihrer Begriffsbildungen und Forschungsmethoden
5545396,Hereditary hydrometrocolpos with polydactyly in infancy.,1971,1,1,Pediatrics
